Name,Height,Weight,Age,Sex,Profession,Salary,Height_indicator,Weight_indicator,Apartments_count
Горшков Бенедикт,186.0,78.0,71,м,продавец,310000,0,0,0
Суворов Эрик,182.0,117.0,80,м,сантехник,61000,0,0,0
Воронов Модест,192.0,55.0,27,м,преподаватель,266000,0,0,1
Гусев Макар,193.0,116.0,68,м,продавец,240000,0,0,2
Соболев Фёдор,165.0,84.0,67,м,автослесарь,226000,0,0,3
Крюков Макар,189.0,109.0,45,м,врач,47000,0,0,0
Мухин Евстахий,183.0,55.0,42,м,студент,258000,0,0,0
Яковлев Федот,184.0,53.0,18,м,сантехник,49000,0,0,0
Меркушев Валентин,168.0,77.0,69,м,преподаватель,343000,0,0,2
Петухов Мирон,174.0,71.0,51,м,сантехник,293000,0,0,0
Бобылёв Зиновий,176.0,89.0,80,м,студент,427000,0,0,0
Фомичёв Михаил,174.52731681034481,84.0,74,м,автослесарь,233000,1,0,0
Мясников Серафим,174.52731681034481,114.0,44,м,бухгалтер,283000,1,0,2
Васильев Никола,176.0,55.0,35,м,студент,41000,0,0,0
Павлов Степан,166.0,108.0,37,м,сантехник,316000,0,0,0
Нестеров Юрий,176.0,116.0,40,м,инженер,186000,0,0,0
Хохлов Остап,171.0,65.0,60,м,врач,420000,0,0,0
Лаврентьев Данил,165.0,113.0,70,м,инженер,460000,0,0,1
Борисов Аполлинарий,194.0,88.0,37,м,врач,13000,0,0,0
Кудряшов Федот,178.0,71.38074499154582,75,м,программист,96000,0,1,0
Романов Август,189.0,114.0,52,м,бухгалтер,29000,0,0,0
Кузьмин Эдуард,174.52731681034481,97.0,81,м,продавец,250000,1,0,0
Котов Ринат,182.0,53.0,63,м,врач,425000,0,0,0
Третьяков Гордей,176.0,116.0,58,м,сантехник,141000,0,0,0
Ермаков Кирилл,168.0,119.0,50,м,врач,130000,0,0,0
Зуев Филипп,165.0,82.0,19,м,студент,481000,0,0,1
Силин Ждан,179.0,64.0,31,м,студент,307000,0,0,0
Ларионов Артур,172.0,65.0,66,м,студент,170000,0,0,0
Щербаков Зиновий,167.0,51.0,49,м,преподаватель,431000,0,0,0
Пестов Арсений,186.0,54.0,77,м,программист,479000,0,0,1
Громов Остап,173.0,61.0,36,м,автослесарь,22000,0,0,0
Шаров Ждан,165.0,68.0,62,м,программист,421000,0,0,0
Смирнов Феликс,178.0,107.0,79,м,продавец,282000,0,0,0
Зайцев Павел,194.0,107.0,36,м,студент,487000,0,0,0
Воробьёв Прохор,172.0,115.0,21,м,бухгалтер,275000,0,0,0
Владимиров Константин,194.0,77.0,22,м,инженер,22000,0,0,1
Овчинников Илья,175.0,84.0,21,м,сантехник,433000,0,0,0
Якушев Платон,166.0,98.0,80,м,автослесарь,341000,0,0,0
Сафонов Ян,172.0,90.0,64,м,бухгалтер,261000,0,0,1
Фокин Никанор,173.0,50.0,19,м,врач,62000,0,0,1
Маслов Климент,166.0,91.0,64,м,сантехник,263000,0,0,0
Лебедев Вячеслав,171.0,102.0,77,м,продавец,11000,0,0,0
Фомичёв Владимир,177.0,108.0,62,м,инженер,199000,0,0,0
Журавлёв Всеволод,180.0,74.0,69,м,студент,53000,0,0,1
Зуев Давид,186.0,82.0,41,м,бухгалтер,118000,0,0,1
Аксёнов Максим,168.0,110.0,26,м,программист,56000,0,0,0
Агафонов Ждан,169.0,71.38074499154582,53,м,врач,401000,0,1,0
Бирюков Давид,186.0,71.38074499154582,69,м,врач,319000,0,1,0
Матвеев Дамир,170.0,106.0,25,м,автослесарь,131000,0,0,0
Самойлов Потап,175.0,104.0,72,м,студент,118000,0,0,0
Ситников Иеремия,184.0,73.0,74,м,преподаватель,361000,0,0,0
Крылов Самсон,192.0,77.0,40,м,автослесарь,279000,0,0,0
Константинов Никодим,191.0,90.0,35,м,студент,231000,0,0,1
Якушев Ренат,171.0,114.0,86,м,бухгалтер,187000,0,0,0
Стрелков Лукьян,174.52731681034481,66.0,26,м,врач,455000,1,0,0
Белозёров Ярослав,173.0,105.0,61,м,бухгалтер,43000,0,0,0
Шилов Андрей,174.52731681034481,84.0,55,м,преподаватель,454000,1,0,0
Сергеев Кондрат,180.0,119.0,41,м,программист,394000,0,0,0
Доронин Мартын,190.0,118.0,19,м,программист,347000,0,0,0
Фролов Ефим,174.52731681034481,114.0,67,м,преподаватель,210000,1,0,0
Константинов Никон,178.0,71.38074499154582,79,м,продавец,195000,0,1,0
Пахомов Николай,180.0,67.0,58,м,программист,46000,0,0,0
Наумов Августин,194.0,88.0,71,м,продавец,102000,0,0,0
Зыков Болеслав,187.0,74.0,34,м,бухгалтер,421000,0,0,0
Исаев Августин,179.0,82.0,71,м,преподаватель,460000,0,0,0
Белов Савва,189.0,112.0,54,м,бухгалтер,301000,0,0,1
Крюков Макарий,182.0,75.0,21,м,бухгалтер,156000,0,0,0
Киселёв Марк,186.0,87.0,89,м,сантехник,337000,0,0,0
Матвеев Филат,165.0,107.0,53,м,инженер,233000,0,0,0
Селиверстов Сидор,189.0,93.0,77,м,инженер,24000,0,0,0
Кошелев Архип,171.0,50.0,73,м,продавец,487000,0,0,0
Уваров Семён,166.0,115.0,55,м,врач,299000,0,0,0
Филатов Леонид,179.0,59.0,88,м,инженер,71000,0,0,0
Никитин Артемий,166.0,71.38074499154582,88,м,преподаватель,259000,0,1,0
Яковлев Савва,165.0,60.0,22,м,студент,65000,0,0,0
Кабанов Антоний,172.0,50.0,32,м,инженер,452000,0,0,0
Игнатов Анастасий,186.0,76.0,71,м,продавец,381000,0,0,0
Горбунов Самсон,165.0,58.0,42,м,студент,418000,0,0,1
Беляев Леонтий,171.0,91.0,26,м,студент,445000,0,0,1
Галкин Харитон,174.52731681034481,70.0,36,м,сантехник,65000,1,0,0
Ефремов Марк,184.0,79.0,33,м,врач,162000,0,0,0
Родионов Данислав,191.0,108.0,47,м,бухгалтер,105000,0,0,0
Хохлов Тарас,179.0,93.0,55,м,преподаватель,364000,0,0,0
Ершов Терентий,174.0,107.0,66,м,инженер,200000,0,0,0
Родионов Митрофан,184.0,112.0,45,м,врач,444000,0,0,1
Ильин Фаддей,178.0,52.0,86,м,бухгалтер,462000,0,0,0
Панов Вениамин,174.0,88.0,46,м,студент,350000,0,0,0
Титов Влас,176.0,99.0,48,м,преподаватель,352000,0,0,2
Суворов Андрей,189.0,110.0,18,м,сантехник,97000,0,0,0
Горшков Ефрем,168.0,105.0,54,м,студент,195000,0,0,0
Петухов Захар,175.0,95.0,21,м,сантехник,443000,0,0,0
Беспалов Игнат,166.0,86.0,22,м,инженер,318000,0,0,1
Игнатьев Семен,174.52731681034481,51.0,73,м,студент,207000,1,0,0
Пахомов Кирилл,175.0,52.0,29,м,сантехник,326000,0,0,0
Фёдоров Борислав,193.0,73.0,89,м,продавец,141000,0,0,0
Воробьёв Климент,184.0,90.0,31,м,автослесарь,248000,0,0,0
Корнилов Радий,180.0,112.0,34,м,сантехник,237000,0,0,1
Воронов Радослав,170.0,68.0,69,м,инженер,453000,0,0,0
Максимов Альберт,166.0,90.0,89,м,сантехник,209000,0,0,0
Федотов Тимофей,174.0,73.0,51,м,студент,70000,0,0,0
Сафонов Касьян,192.0,108.0,64,м,бухгалтер,382000,0,0,0
Лыткин Михаил,177.0,90.0,60,м,студент,43000,0,0,0
Чернов Моисей,187.0,118.0,24,м,инженер,486000,0,0,0
Горшков Денис,169.0,95.0,75,м,автослесарь,423000,0,0,0
Щербаков Ростислав,171.0,104.0,75,м,инженер,451000,0,0,0
